product_id,product_name,category,price,updated_at
P100000,Puma Dumbbell Set,sports,466.91,2026-05-05 13:48:40
P100001,Nike Yoga Mat,sports,207.68,2025-11-20 00:54:09
P100002,Dove Lipstick,beauty,280.13,2024-07-24 00:29:37
P100003,Philips Vacuum Cleaner,home,416.98,2023-11-23 12:11:05
P100004,Dove Face Cleanser,beauty,412.29,2024-10-23 11:06:50
P100005,Maybelline Body Lotion,beauty,281.84,2023-08-09 22:42:11
P100006,,sports,396.65,2025-01-08 06:33:01
P100007,KitchenAid Dining Chair,home,478.23,2025-07-31 07:34:30
P100008,Nike Protein Shaker,sports,334.63,2025-12-16 01:30:49
P100009,Dove Lipstick,beauty,248.48,2024-06-21 20:23:56
P100010,IKEA Air Fryer,home,383.54,2025-05-23 13:27:56
P100011,Nike Jump Rope,sports,374.05,2026-04-05 15:28:10
P100012,Under Armour Swimming Goggles,sports,132.67,2024-01-06 18:42:22
P100013,Nike Running Shoes,sports,258.7,2023-10-30 11:57:03
P100014,Apple Gaming Laptop,electronics,292.92,2023-06-14 12:14:59
P100015,KitchenAid Bed Frame,home,439.77,2024-04-12 09:11:14
P100016,KitchenAid Vacuum Cleaner,home,31.18,2024-08-22 18:18:28
P100017,Dove Mascara,beauty,456.49,2024-10-15 02:37:01
P100018,L'Oréal Shampoo,beauty,149.37,2025-04-04 03:44:06
P100019,Dell Mechanical Keyboard,electronics,384.39,2025-12-03 00:59:32
P100020,IKEA Storage Cabinet,home,377.55,2024-05-18 12:57:01
P100021,Maybelline Beard Oil,beauty,423.27,2024-04-08 01:53:20
P100022,,beauty,350.49,2024-12-11 03:21:04
P100023,L'Oréal Hair Serum,beauty,292.12,2025-01-07 01:32:56
P100024,IKEA Vacuum Cleaner,home,261.49,2023-10-13 13:44:42
P100025,Dove Sunscreen,beauty,173.45,2025-11-20 10:50:51
P100026,IKEA Blender,home,81.5,2024-12-06 19:51:28
P100027,Philips Electric Kettle,home,449.04,2024-02-15 03:38:25
P100028,Logitech USB-C Hub,electronics,458.44,2024-01-22 19:59:18
P100029,Sony Tablet,electronics,13.6,2025-01-07 06:07:42
P100030,Maybelline Nail Polish,beauty,184.47,2023-08-13 08:36:31
P100031,Puma Resistance Bands,sports,356.4,2025-03-21 05:44:13
P100032,Samsung Mechanical Keyboard,electronics,68.71,2026-05-22 08:10:29
P100033,Philips Dining Chair,home,67.05,2024-08-21 12:11:30
P100034,,home,346.95,2023-09-09 18:23:04
P100035,Samsung Wireless Earbuds,electronics,388.47,2025-07-19 21:12:06
P100036,Nike Basketball,sports,58.37,2024-01-19 20:48:27
P100037,Logitech Bluetooth Speaker,electronics,454.72,2026-03-28 16:16:07
P100038,Samsung Smartphone,electronics,335.46,2024-09-29 17:24:42
P100039,,electronics,302.89,2025-06-10 15:09:18
P100040,Philips Wall Clock,home,179.01,2026-02-10 14:20:02
P100041,Sony Wireless Mouse,electronics,374.37,2024-02-19 02:58:12
