event_id,customer_id,product_id,event_type,event_time,device
df5c42b1-3e5a-4bea-8242-48fcc64a811c,U104234,P101730,click,2026-02-03 07:56:21,Web
7fa3abd8-86c1-40c7-a9fe-bf42df892ed1,,P101037,add_to_cart,2025-07-24 04:21:52,Web
c7968f0e-2f7d-4c84-8dc5-082e99424b5d,U103907,P101012,view,2026-04-21 17:55:53,Web
27c0fbef-4073-4c95-8106-670fa286e480,U101187,P100912,click,2025-09-01 02:31:12,tablet
647ac55b-844f-48c7-8d50-0d495cf6ab88,U103980,P100633,add_to_cart,2026-04-30 19:53:50,mobile
63e61578-2346-45f7-989b-130ccc80d965,U100614,P100359,view,2025-11-26 07:39:29,Web
d007d6ed-6fb0-4607-8ccd-8a26508324f7,U100516,P100019,purchase,2026-02-26 11:43:25,mobile
02871e49-d791-4e17-8b75-fd453dbc6031,,P100701,add_to_cart,2026-03-26 05:35:00,tablet
e028ac1a-082a-48d7-aa35-e521e86942a4,U104830,P101393,add_to_cart,2025-07-23 01:37:02,mobile
35cbce46-5f52-4169-9278-092e946a20d8,U103142,P101173,add_to_cart,2025-12-28 19:36:49,web
f3f0a4c0-80a7-49d2-9d19-f5eef82ed5ce,U101384,P100152,view,2025-11-05 16:30:15,web
1b149456-5302-4980-9170-b5d7290991fb,U102081,P100130,view,2025-08-06 12:56:26,MOBILE
2e002f9b-a6e1-46f1-b642-5018cf724238,U104899,P101003,view,2026-04-07 14:38:23,tablet
79038858-0273-4b21-a578-c6bcd173cb52,U104327,P100159,click,2025-09-30 23:33:13,web
8c660d57-1468-46b4-9477-43c1704b43ff,U103295,P101876,purchase,2026-04-04 05:00:15,web
ced6002a-d763-4054-b80e-75dc49331432,U102415,P100738,click,2025-10-17 16:21:51,Web
e30acd5a-2af6-494c-8c38-bffd926a6614,U103555,P100139,view,2025-11-07 13:37:08,Web
bd06e230-4638-4e0d-81be-9db8258e7154,U102691,P101762,view,2026-01-14 02:25:41,tablet
197b290a-113b-4c97-a947-036786c2f038,,P100272,view,2026-04-14 15:31:08,mobile
507ea02c-f192-41d6-9944-df3829f76d58,U104599,P101073,click,2025-10-31 00:54:12,tablet
b068b017-7414-4934-9f55-572f5bb2967e,U102323,P100397,add_to_cart,2025-07-26 05:39:08,MOBILE
4bb8bed8-6db1-49fc-9f84-f90162ea8263,U103915,P101472,click,2025-12-20 01:50:35,tablet
aec25912-9dfa-4fd8-b3da-9a55c3bc4abb,U104724,P101267,click,2025-08-18 11:31:28,web
9c14a441-411e-455b-b3e4-a431288ff26c,U101643,P101822,add_to_cart,2025-11-20 10:17:52,web
ee8d2307-dd8c-4ab3-b0ef-729b781e2bb4,U103154,P101817,add_to_cart,2025-06-09 07:58:09,web
5b2e08ac-f898-46a6-be8c-88f7c971d286,U104261,P101723,purchase,2025-10-07 11:35:51,mobile
c635d6cd-4162-4d72-a27b-d5013a3eac02,U100318,P101445,click,2026-04-03 09:12:09,web
e8aad289-49e1-4b68-8346-8f83ec15e1af,U101478,P100666,purchase,2026-01-29 02:25:10,MOBILE
d2764b93-7cab-44a9-942c-d5a0bc2653f2,U104237,P101878,click,2026-05-07 23:50:10,Web
e8c1dc43-1cbb-42d6-a032-e0a3169779c7,U104348,P100567,click,2026-05-30 13:18:21,Web
c4ba56d7-17e8-498a-b086-3c91c853091e,U100598,P101411,purchase,2026-01-02 09:26:23,MOBILE
0b4b1d40-66ab-4294-9dbe-1ad1b797f3d6,U100302,P100803,view,2025-08-02 18:20:41,web
e3bc147c-57e0-44c3-994f-e226612d6dd4,U104711,P100518,add_to_cart,2025-08-16 18:31:39,mobile
b744b935-1d5e-4b8f-813c-0a737f61c4ea,U100001,P100723,add_to_cart,2025-07-11 06:32:06,mobile
af770b8d-d2a7-4f15-ba0b-44d3fb7efb80,U103828,P101498,purchase,2025-10-27 18:48:35,MOBILE
f011c82a-6ca4-43d1-b2be-3a3955ee3848,,P100682,click,2025-10-24 15:58:16,MOBILE
af342d8f-47c0-4d9b-a8e7-db04b90b2efc,U100905,P100676,purchase,2026-03-06 12:10:34,MOBILE
5c95ae0e-c403-44f3-9249-16d424fc662a,U102887,P100873,view,2025-06-13 21:39:23,tablet
fc94dcab-7a83-4c80-85d1-434a908fc343,U101235,P100317,click,2025-08-03 09:15:07,tablet
41d8cfdd-f2b5-401c-a2a4-7e410403f57f,U100830,P100016,purchase,2026-01-19 02:27:50,web
d056bf61-c80d-4001-90c3-6859288694de,U101566,P100876,purchase,2026-02-28 00:01:22,web
13a570ff-dc1a-46f3-b0ea-508025ed5e3b,U101870,P100386,view,2025-10-15 14:48:49,web
440e9ace-9bf7-4738-a503-397cd17c0924,U101448,P101534,click,2025-10-01 16:05:13,MOBILE
8f500707-8d04-4a13-b89a-4eeb9d60c514,U103131,P101565,click,2026-03-28 08:13:54,Web
23171631-5b2f-475b-bfb7-bf1d2460f714,U100972,P101542,view,2025-07-02 01:43:38,mobile
b9bbbf32-7204-40b2-a1a1-a8b72a4bb5a0,U100004,P100116,purchase,2025-07-18 14:24:42,mobile
b692d5ed-63b0-4f5e-aafd-6b21e58a189f,U104055,P101205,view,2026-05-24 03:40:19,Web
05354376-4403-4723-aeb7-13fc688e2099,U100196,P101991,purchase,2025-09-29 18:03:23,tablet
9b1856de-6953-49ac-9069-101a105c6a44,U103042,P101535,click,2026-02-08 07:42:21,Web
3dec90b0-a63d-45af-be77-fbaa362cb5e9,U104590,P100907,view,2026-01-03 05:34:57,web
f0eefd99-a17b-4518-a105-f2b0bbf37dc5,U104306,P101487,purchase,2026-04-15 10:17:47,Web
50b713d7-0e62-4fe3-8b09-fc5ffc962003,U103962,P101237,purchase,2026-02-21 20:05:55,Web
6b82e37a-7c47-418b-8cf2-8192da11f3f8,U103851,P100743,view,2025-10-31 19:39:17,MOBILE
923cc6aa-0d44-4de3-9be3-41e961871435,U103501,P101931,purchase,2025-12-18 00:59:52,MOBILE
75b0339a-8d8f-4ba8-aa45-874022e69ead,U101907,P101307,add_to_cart,2025-09-03 07:03:37,web
e3e99aa8-c133-4b7d-a63c-60acacdfb8fa,U104011,P100592,add_to_cart,2026-04-23 08:17:56,mobile
c5bb32fb-618a-4eeb-859a-a0290f6fe5f2,U101584,P100790,click,2026-03-18 20:13:46,MOBILE
f9752098-a6ff-4e35-80f8-edcc3cd08603,U101604,P101833,click,2025-11-09 23:38:22,MOBILE
4243a0a8-bafd-4978-8be6-e81603be2fbe,U101663,P101146,add_to_cart,2026-02-21 05:40:03,MOBILE
e76b11fa-21da-41c2-bb8e-91600715b77e,U103751,P100239,view,2025-12-03 23:25:41,Web
a021fee8-46ac-41db-b950-b84c1c73de5f,U101554,P100965,view,2025-07-24 00:45:37,web
3b0d835e-31eb-426b-9b9b-a275174d4eae,U104705,P101977,add_to_cart,2025-07-31 09:33:46,MOBILE
04d4bef8-5b47-4437-919b-202722d83d3c,U104107,P100405,click,2026-06-01 08:04:21,MOBILE
f1b726c2-8516-45e5-8dc3-d35c1aea3e9b,U104672,P101992,click,2026-04-21 07:15:48,web
93d6be2c-15ed-4fff-a400-31f2fb09894c,,P100915,view,2025-07-21 09:17:12,tablet
225ae362-f053-46c8-8382-a63c5106e286,U101318,P100205,view,2026-03-27 06:34:46,web
54859425-d635-4ff1-8fd0-2d04838e3aba,,P100305,click,2026-01-12 08:36:07,tablet
8b3892d7-8fe0-4691-bb61-54938ef11c53,U102062,P100243,add_to_cart,2025-06-07 14:58:54,Web
dec331b7-6e3b-4d51-b8e8-5972834a7e9c,U101212,P100918,purchase,2025-12-16 18:14:37,mobile
ce216361-24ea-4f5c-a57b-26a3e9e3bd20,U101368,P101131,view,2026-02-18 09:13:42,MOBILE
4041d423-6245-43dd-bc5d-d958e881f08c,U101617,P101971,view,2026-04-08 10:11:32,Web
7c21e3b4-ecea-4beb-ba5e-47953fa96fa4,,P101977,click,2025-08-26 11:36:20,tablet
171773f3-11ef-447b-84ac-5c69f6dbcf47,U100537,P101011,purchase,2025-07-17 02:36:29,tablet
0fb680b8-c135-43cb-96b3-ef129be16057,U100516,P100972,view,2025-12-07 12:33:37,web
71621037-d7d1-441a-b833-10d54db50c32,U100764,P100526,add_to_cart,2026-04-17 03:48:41,mobile
a5087481-6542-4137-b132-85eba647bef0,U104110,P101310,view,2025-07-20 22:24:12,Web
ef3c140e-b94c-4dd4-84c8-6a5b9f244050,U104435,P100862,purchase,2025-12-18 06:05:02,tablet
43a06fd5-1888-469d-93ab-117855aabf2a,U103111,P101005,view,2026-03-08 15:41:12,web
93674972-86aa-4449-91cf-05a2513ab3c6,U101027,P101790,add_to_cart,2025-12-10 18:45:06,Web
537375ce-4546-4f95-b4d7-54740cd1cadc,U101365,P101629,click,2026-04-09 19:59:02,tablet
d0c343ac-1637-400d-96e8-29e6d1de8910,U104804,P101608,click,2025-11-26 07:35:35,web
8d6f2b9d-d30a-4c15-8d2e-feb4ba7b5b29,U103971,P100131,view,2025-06-13 15:25:39,Web
6d74cbe0-9ce6-4e84-9ade-71861a496570,U100014,P100448,add_to_cart,2026-02-13 00:42:10,tablet
09cd3fc4-8e7a-4f12-a406-f7a9b6886ffa,U101334,P101787,add_to_cart,2026-01-17 23:13:35,tablet
d514cdda-6377-4d4f-86f8-e6edba9a3730,U101770,P101619,view,2026-02-21 11:33:40,tablet
1f5b8e2a-c63c-4f4b-a062-0f6e9dcb2605,U100249,P100992,click,2025-11-08 06:21:17,web
ff479f44-626e-4285-ada4-0b139d710ee9,U100385,P101917,view,2025-06-20 21:42:38,Web
d92455ab-b7b7-4944-a768-6ede18993028,U100661,P100512,add_to_cart,2026-04-21 12:11:08,Web
6ad4c965-addb-438d-8d93-f0f517cc491a,U103463,P100044,purchase,2025-11-20 08:23:31,mobile
46b96298-2ed2-4505-bd90-017c8e705b5d,U101325,P100555,view,2026-01-03 04:29:22,MOBILE
62bebeb4-3131-4d81-97fa-8a4a61528a3b,U103326,P101029,purchase,2025-12-06 20:37:49,Web
20838065-4f24-49d5-814a-662e4fbbb73f,U100213,P101256,add_to_cart,2026-02-20 16:03:24,Web
ad25e152-9871-4cce-a38d-afafac99da25,U102525,P100327,click,2026-02-10 12:24:38,mobile
4b70fdfd-0fe9-4124-bf3d-5abec1434d1f,U103119,P101860,add_to_cart,2025-09-03 08:32:39,MOBILE
27edfa70-8d51-4519-b9f5-1cf97a7b5935,U103389,P100448,purchase,2026-05-25 11:29:45,mobile
c6a695c8-c535-46cd-afcc-5d306ec7dead,,P101854,purchase,2025-06-15 05:48:55,tablet
45654252-7ed0-4f47-b317-acffe46e712b,U102800,P100319,add_to_cart,2025-07-27 21:54:04,MOBILE
1d7f8575-949a-479b-ad20-c430e3fa819f,U101493,P100153,add_to_cart,2025-10-21 12:12:11,web
4d19c60e-7f7e-4222-8c10-a746633a197b,,P101040,add_to_cart,2025-06-23 13:19:09,mobile
6714c0a9-cce2-49cd-84ae-06ba9179922d,U101267,P100645,view,2025-12-29 14:35:25,mobile
338f00e0-0ad4-4671-9ba5-6cc807b8f4f1,,P101901,view,2026-01-25 12:08:48,mobile
04ca9010-0ce9-4401-83be-5fb643027696,U104882,P101296,purchase,2025-08-14 21:24:08,web
c2e96475-d45a-4d6a-90d8-5cb85110f376,U104179,P101900,add_to_cart,2026-05-30 17:33:42,mobile
f31483c1-6fb4-443c-af4a-2e4cd75f0a87,U104048,P100471,purchase,2026-03-05 11:58:50,web
a7f8a7c3-7d7a-44ca-9b14-8812ce1c84b1,U104121,P101734,view,2026-02-20 20:08:42,MOBILE
bdba7748-6cb4-4b30-ab09-2051aa222a67,U101748,P101393,click,2026-04-25 03:17:38,MOBILE
42111229-f197-4e22-81bb-63f88ec6adaa,U101576,P101043,view,2025-09-18 07:32:26,mobile
03618bd4-168a-472a-ac76-2b82ce6ed39b,U102381,P100828,view,2025-06-29 13:46:24,Web
97da868c-24e4-4678-8cd0-165edf2bc29a,U102830,P101290,purchase,2026-01-27 05:23:39,mobile
854035f2-9f6e-4c34-9eac-665e649537ba,U104860,P100803,purchase,2025-09-14 23:07:47,mobile
350cd4ff-6a4b-4be0-8550-859b683bf556,U103663,P101955,purchase,2025-10-26 20:50:28,Web
1172555d-6669-4527-b4a4-1428bbfd7a6b,U100289,P100571,click,2026-01-17 08:49:48,tablet
5d25e074-2dca-42e9-8a3a-158fb8f308f6,U102887,P100200,click,2025-06-29 04:13:23,web
1ac1b084-4fc9-4fbe-bb72-98d231690869,,P101616,purchase,2026-06-03 16:25:30,Web
607bb13c-bf0d-4b8b-9a65-e433ff0d8780,U103299,P101703,add_to_cart,2025-07-23 12:57:37,tablet
e84bf446-fe15-43e1-bdf0-e7b43cb30d2a,U100664,P101624,purchase,2026-04-22 20:19:49,tablet
