order_id,product_id,quantity,unit_price
O100000,P101017,3,391.65
O100001,P100588,1,155.17
O100001,P101895,2,95.16
O100001,P100672,1,63.94
O100001,P100410,1,162.19
O100001,P100163,2,326.49
O100002,P100042,1,77.13
O100002,P101534,3,119.17
O100002,P101346,2,335.37
O100002,P100851,1,184.05
O100003,P101493,1,458.93
O100003,P101566,2,109.68
O100004,P101416,3,423.36
O100004,P100156,1,46.19
O100004,P101747,1,260.67
O100004,P100135,2,481.88
O100004,P100232,2,191.9
O100005,P101568,3,243.02
O100005,P100250,2,213.6
O100005,P100569,1,265.03
O100005,P100188,2,216.77
O100005,P101651,1,323.49
O100006,P101485,1,22.43
O100006,P101270,1,142.63
O100006,P100332,1,309.07
O100007,P101669,3,184.13
O100007,P100980,3,285.24
O100007,P100696,2,65.31
O100007,P100885,1,420.44
O100007,P101588,2,293.67
O100008,P101271,3,138.43
O100008,P101200,3,418.99
O100009,P101709,3,320.79
O100009,P101599,2,155.8
O100010,P100793,2,382.19
O100010,P100407,1,188.41
O100010,P100385,1,124.61
O100010,P100035,3,385.9
O100011,P100851,3,182.78
O100011,P101985,2,467.39
O100011,P100174,1,33.55
O100012,P101066,3,13.29
O100012,P101214,1,313.87
O100012,P101133,3,177.1
O100012,P100697,1,36.24
O100012,P100066,3,120.27
O100013,P101099,2,364.57
O100013,P101758,1,204.43
O100013,P100614,3,97.68
O100014,P101425,2,281.23
O100014,P100313,2,175.54
O100015,P100152,3,335.42
O100015,P101020,2,336.33
O100015,P100833,1,70.54
O100015,P100583,2,278.35
O100016,P101780,1,416.9
O100017,P101227,1,396.26
O100017,P100194,2,280.87
O100017,P100651,1,393.79
O100017,P100434,3,434.41
O100017,P100474,1,368.28
O100018,P101545,3,194.03
O100018,P100163,3,323.17
O100018,P101182,3,357.98
O100018,P101856,3,383.07
O100018,P100205,2,120.77
O100019,P100638,2,182.48
O100020,P100551,3,384.02
O100020,P100140,1,49.42
O100020,P101204,1,278.97
O100021,P100087,2,175.47
O100021,P100831,3,170.95
O100021,P100325,3,312.36
O100021,P101833,1,225.03
O100022,P100379,3,488.18
O100022,P101435,1,435.29
