order_id,customer_id,order_date,status
O100000,U103113,2004-08-23 00:00:00,completed
O100001,U100882,2025-01-24 16:23:39,completed
O100002,U104234,2026-04-08 11:21:25,completed
O100003,UNKNOWN,2024-08-08 14:54:57,completed
O100004,U101504,1981-09-17 00:00:00,completed
O100005,U102463,2025-01-22 16:10:22,completed
O100006,U102553,2025-08-24 22:22:10,completed
O100007,U100732,2026-05-21 18:41:37,completed
O100008,U101748,2026-04-19 16:23:32,completed
O100009,U103924,1990-07-27 00:00:00,completed
O100010,U100423,2025-10-01 11:21:30,completed
O100011,U103478,2026-03-07 21:53:25,cancelled
O100012,U101591,2024-08-01 04:13:18,completed
O100013,U104485,2025-09-24 16:12:17,completed
O100014,U104437,2026-04-03 19:26:04,completed
O100015,U104121,2024-06-30 01:54:27,pending
O100016,U104709,2025-03-08 17:40:06,completed
O100017,U100492,2025-09-27 15:23:34,pending
O100018,U100191,2025-01-23 01:47:42,completed
O100019,U100498,2026-01-31 17:07:15,pending
O100020,U104917,2025-10-16 18:06:21,completed
O100021,U101256,2024-07-14 10:01:28,completed
O100022,U101968,2024-11-28 00:41:11,completed
O100023,U104322,2025-01-30 06:12:15,cancelled
O100024,U102186,2025-04-30 18:43:48,pending
O100025,U100816,2025-07-02 20:49:47,completed
O100026,U103220,2025-11-06 16:38:52,completed
O100027,U101473,2025-08-30 05:22:52,completed
O100028,U101086,2026-03-01 11:58:48,completed
O100029,U104199,2026-04-18 00:54:05,completed
O100030,U101874,2025-07-19 09:03:14,completed
O100031,U100870,1998-06-23 00:00:00,pending
O100032,U104763,2025-01-15 07:59:37,completed
O100033,U102042,2025-03-20 01:08:38,completed
O100034,UNKNOWN,2026-04-18 13:48:22,completed
O100035,U101029,2025-06-22 17:52:45,cancelled
O100036,UNKNOWN,2026-02-07 17:44:05,pending
O100037,U104069,2025-09-11 05:17:15,completed
O100038,U101051,2024-07-13 22:30:19,cancelled
O100039,U104033,2025-04-19 15:17:08,pending
O100040,U101573,2025-07-22 18:00:21,completed
O100041,U103190,2025-03-13 16:29:11,completed
O100042,U104388,2024-09-26 03:27:21,cancelled
O100043,U103797,2025-02-24 15:16:40,completed
O100044,UNKNOWN,2024-09-05 13:36:55,completed
O100045,U103747,2026-01-10 22:03:33,completed
O100046,U102105,2025-10-27 11:04:52,completed
O100047,U100307,2025-05-04 14:14:10,cancelled
O100048,U103359,2025-04-15 21:45:28,completed
O100049,U100227,2025-01-13 13:03:26,completed
O100050,U103176,2024-08-06 23:16:36,pending
O100051,U101251,1973-04-17 00:00:00,completed
O100052,U102747,2025-07-24 00:26:33,completed
O100053,U101517,1997-12-16 00:00:00,cancelled
O100054,U101378,2024-11-18 17:30:05,completed
O100055,U104891,2025-05-16 19:13:43,completed
O100056,U104992,2025-08-26 02:41:22,completed
O100057,U101961,2024-09-04 16:43:19,completed
O100058,U104305,2025-04-18 23:16:47,cancelled
O100059,U102863,2025-08-08 03:42:26,completed
O100060,U102656,2025-08-24 05:17:08,completed
O100061,U102494,2025-06-24 20:40:03,completed
O100062,U103862,2025-09-27 03:23:25,completed
O100063,U104567,2024-10-02 02:32:51,pending
O100064,U104005,2025-07-30 14:22:30,pending
O100065,U103563,2025-04-15 01:17:32,cancelled
O100066,U100922,2000-08-07 00:00:00,completed
O100067,U104232,2024-09-03 01:38:11,pending
O100068,U104462,2026-02-26 22:14:50,completed
O100069,U102959,2025-08-29 20:42:51,pending
O100070,UNKNOWN,2025-11-14 03:17:39,pending
O100071,U103358,2025-07-16 15:05:57,completed
O100072,U101398,2024-09-01 04:43:41,completed
O100073,U102796,2025-01-03 00:24:58,completed
O100074,U100536,2024-09-01 18:16:42,completed
O100075,U101273,2026-01-29 09:58:27,cancelled
O100076,U102967,2024-12-19 22:36:31,completed
O100077,U103049,2026-04-02 22:53:08,completed
O100078,U101096,2025-07-05 03:08:28,completed
O100079,U101305,2024-10-05 13:17:45,pending
O100080,U100915,2025-11-28 12:12:32,completed
O100081,U103081,2024-09-07 20:43:40,completed
O100082,U104247,2024-10-13 16:42:27,completed
O100083,U101028,2025-02-05 11:22:51,completed
O100084,U101977,2025-02-18 08:13:40,completed
O100085,U103354,2024-12-14 04:58:06,pending
O100086,U102511,2024-12-05 10:56:50,completed
O100087,U100270,2025-02-28 00:27:33,completed
O100088,U101186,2024-11-26 21:09:23,completed
O100089,U104555,2026-01-18 10:14:04,completed
O100090,U104200,2025-09-22 09:35:59,completed
O100091,U103764,2025-01-05 05:15:51,completed
O100092,U102398,2024-08-15 16:19:21,completed
O100093,U104529,2004-08-04 00:00:00,completed
O100094,U104235,2025-11-01 16:08:30,completed
O100095,U104182,2025-06-13 13:07:58,pending
O100096,U101711,2026-01-26 07:13:40,completed
O100097,U102230,2024-09-07 07:04:20,pending
O100098,U100128,2025-07-21 19:15:33,pending
O100099,U101269,2024-10-01 13:14:39,completed
O100100,U103672,2025-12-21 15:01:14,pending
O100101,U101601,2025-04-27 19:32:05,completed
O100102,U104765,2026-01-27 07:17:05,completed
O100103,U103970,2024-09-16 12:19:09,completed
O100104,U104244,2025-03-19 02:10:58,completed
O100105,U103321,2025-05-03 11:38:34,completed
O100106,U104947,2025-08-26 10:47:10,completed
O100107,U100627,2026-03-17 04:29:00,completed
O100108,U103797,2026-04-21 20:29:42,completed
O100109,U102044,2024-11-09 06:49:32,completed
O100110,U103552,2026-02-25 23:12:34,completed
O100111,U104979,2026-03-26 02:12:39,completed
O100112,U102341,2025-04-09 03:35:08,completed
O100113,U103214,2025-06-07 19:12:41,completed
O100114,U100249,2026-01-18 00:16:17,completed
O100115,U102925,2025-03-24 10:27:30,pending
O100116,U100065,2025-10-22 10:10:08,pending
O100117,U100974,1986-10-16 00:00:00,completed
O100118,U101325,2025-04-14 13:50:06,pending
O100119,U100983,2026-03-19 22:40:07,completed
O100120,U100888,1990-11-25 00:00:00,completed
O100121,UNKNOWN,2025-12-20 05:22:31,cancelled
O100122,U102117,2025-03-12 05:40:53,completed
O100123,U102672,2026-05-22 17:55:01,cancelled
O100124,U104970,2024-10-05 20:52:31,completed
O100125,U101326,2025-02-26 17:43:26,completed
O100126,U100470,2026-01-15 20:27:17,completed
O100127,U101987,2024-10-06 14:13:43,completed
O100128,U100090,2025-06-11 00:06:15,completed
O100129,U100529,2025-09-28 11:54:17,completed
O100130,U104756,2026-04-03 08:03:54,pending
O100131,U104059,2024-07-28 01:27:00,completed
O100132,U104834,2026-01-19 22:09:42,completed
O100133,U102773,2025-11-29 23:46:58,completed
O100134,U104967,2025-06-26 04:18:21,pending
O100135,U101686,2024-11-28 20:26:01,completed
O100136,U100191,2026-04-02 10:51:37,completed
O100137,U101986,2025-11-30 23:53:51,cancelled
O100138,U103623,2025-12-27 06:50:22,completed
O100139,UNKNOWN,2024-11-29 16:48:58,completed
O100140,U104440,2025-01-07 23:23:53,pending
O100141,U101008,2024-08-05 09:49:47,pending
