payment_id,order_id,amount,payment_method
PAY100000,O100000,1174.95,paypal
PAY100001,O100001,1224.6,paypal
PAY100002,O100002,1289.43,crypto
PAY100003,O100003,678.29,card
PAY100004,O100004,2924.5,card
PAY100005,O100005,,paypal
PAY100006,O100006,474.13,crypto
PAY100007,O100007,,crypto
PAY100008,O100008,1672.26,card
PAY100009,O100009,1273.97,paypal
PAY100010,O100010,2235.1,card
PAY100011,O100011,,card
PAY100012,O100012,1282.09,crypto
PAY100013,O100013,1226.61,crypto
PAY100014,O100014,913.54,cash
PAY100015,O100015,2306.16,crypto
PAY100016,O100016,416.9,crypto
PAY100017,O100017,3023.3,card
PAY100018,O100018,4016.29,crypto
PAY100019,O100019,364.96,crypto
PAY100020,O100020,1480.45,card
PAY100021,O100021,2025.9,crypto
PAY100022,O100022,1899.83,crypto
PAY100023,O100023,345.61,cash
PAY100024,O100024,1932.45,paypal
PAY100025,O100025,2470.08,cash
PAY100026,O100026,2057.3,crypto
PAY100027,O100027,1533.59,card
PAY100028,O100028,3965.19,card
PAY100029,O100029,327.23,paypal
PAY100030,O100030,387.45,card
PAY100031,O100031,2642.96,crypto
PAY100032,O100032,1212.46,cash
PAY100033,O100033,673.77,paypal
PAY100034,O100034,1554.2,cash
PAY100035,O100035,2568.52,card
PAY100036,O100036,655.62,crypto
PAY100037,O100037,1273.82,paypal
PAY100038,O100038,890.03,card
PAY100039,O100039,2668.53,card
PAY100040,O100040,,cash
PAY100041,O100041,2275.96,card
PAY100042,O100042,1535.79,cash
PAY100043,O100043,861.71,card
PAY100044,O100044,,cash
PAY100045,O100045,1355.06,cash
PAY100046,O100046,287.23,crypto
PAY100047,O100047,481.96,paypal
PAY100048,O100048,157.59,paypal
PAY100049,O100049,2615.96,crypto
PAY100050,O100050,1677.43,card
PAY100051,O100051,1002.42,card
PAY100052,O100052,460.16,paypal
PAY100053,O100053,434.11,cash
PAY100054,O100054,1150.11,cash
PAY100055,O100055,896.37,paypal
PAY100056,O100056,668.45,paypal
PAY100057,O100057,1676.08,crypto
PAY100058,O100058,395.07,card
PAY100059,O100059,1604.81,cash
PAY100060,O100060,654.9,crypto
PAY100061,O100061,481.41,paypal
PAY100062,O100062,,crypto
PAY100063,O100063,2235.52,crypto
PAY100064,O100064,1449.6,cash
PAY100065,O100065,865.31,crypto
PAY100066,O100066,1614.33,cash
PAY100067,O100067,1256.1,paypal
PAY100068,O100068,1021.02,cash
PAY100069,O100069,1444.12,card
PAY100070,O100070,1010.73,paypal
PAY100071,O100071,2633.35,cash
PAY100072,O100072,434.6,paypal
PAY100073,O100073,2239.66,crypto
PAY100074,O100074,2464.11,paypal
PAY100075,O100075,122.28,cash
PAY100076,O100076,2543.02,crypto
PAY100077,O100077,2168.14,card
PAY100078,O100078,2819.37,paypal
PAY100079,O100079,1076.06,cash
PAY100080,O100080,5.62,paypal
PAY100081,O100081,3787.83,paypal
PAY100082,O100082,110.98,cash
PAY100083,O100083,2545.62,card
PAY100084,O100084,1029.12,cash
PAY100085,O100085,,paypal
PAY100086,O100086,1896.3,card
PAY100087,O100087,16.94,card
PAY100088,O100088,1536.88,card
PAY100089,O100089,2293.77,card
PAY100090,O100090,1082.07,paypal
PAY100091,O100091,1532.68,cash
PAY100092,O100092,718.88,cash
PAY100093,O100093,1596.72,crypto
PAY100094,O100094,296.93,crypto
PAY100095,O100095,2156.55,crypto
PAY100096,O100096,252.32,card
PAY100097,O100097,1086.78,card
PAY100098,O100098,597.78,cash
PAY100099,O100099,670.21,card
PAY100100,O100100,,cash
PAY100101,O100101,749.54,crypto
PAY100102,O100102,2941.47,cash
PAY100103,O100103,448.81,card
PAY100104,O100104,454.64,cash
PAY100105,O100105,1842.64,cash
PAY100106,O100106,1932.82,cash
PAY100107,O100107,653.21,card
PAY100108,O100108,,paypal
PAY100109,O100109,578.61,crypto
PAY100110,O100110,526.78,paypal
PAY100111,O100111,2110.35,paypal
PAY100112,O100112,3576.96,paypal
PAY100113,O100113,1057.14,paypal
PAY100114,O100114,470.91,card
PAY100115,O100115,119.38,card
PAY100116,O100116,2872.28,paypal
PAY100117,O100117,313.38,paypal
PAY100118,O100118,,cash
PAY100119,O100119,1267.49,cash
PAY100120,O100120,1022.34,crypto
PAY100121,O100121,427.53,crypto
PAY100122,O100122,2370.54,crypto
PAY100123,O100123,1083.93,cash
PAY100124,O100124,3982.38,paypal
PAY100125,O100125,3336.05,paypal
PAY100126,O100126,1357.88,crypto
PAY100127,O100127,483.52,crypto
PAY100128,O100128,144.84,card
PAY100129,O100129,1816.37,crypto
PAY100130,O100130,4432.76,cash
PAY100131,O100131,1360.3,cash
PAY100132,O100132,350.02,crypto
PAY100133,O100133,2302.05,crypto
PAY100134,O100134,1143.33,card
PAY100135,O100135,884.11,card
PAY100136,O100136,329.3,card
PAY100137,O100137,1766.52,cash
PAY100138,O100138,270.9,card
PAY100139,O100139,1573.66,paypal
PAY100140,O100140,3132.09,paypal
PAY100141,O100141,456.31,paypal
PAY100142,O100142,2557.68,card
PAY100143,O100143,499.18,cash
PAY100144,O100144,1238.38,cash
PAY100145,O100145,2202.61,card
PAY100146,O100146,2052.17,crypto
PAY100147,O100147,2198.38,crypto
PAY100148,O100148,2166.65,card
PAY100149,O100149,1487.52,cash
PAY100150,O100150,1302.68,paypal
PAY100151,O100151,1069.38,crypto
PAY100152,O100152,1711.66,paypal
PAY100153,O100153,844.54,cash
PAY100154,O100154,3236.21,crypto
PAY100155,O100155,1456.7,card
PAY100156,O100156,2775.42,paypal
PAY100157,O100157,2288.92,paypal
PAY100158,O100158,2248.99,paypal
PAY100159,O100159,514.3,card
PAY100160,O100160,1977.1,card
PAY100161,O100161,878.1,paypal
PAY100162,O100162,,card
PAY100163,O100163,712.16,crypto
PAY100164,O100164,,cash
PAY100165,O100165,1276.17,crypto
PAY100166,O100166,3161.51,card
PAY100167,O100167,3065.37,cash
PAY100168,O100168,3679.13,paypal
PAY100169,O100169,2153.38,paypal
PAY100170,O100170,3326.56,cash
PAY100171,O100171,1604.36,crypto
PAY100172,O100172,1975.41,paypal
PAY100173,O100173,1556.45,paypal
PAY100174,O100174,1061.22,paypal
PAY100175,O100175,556.06,card
PAY100176,O100176,2098.12,crypto
PAY100177,O100177,3073.92,card
PAY100178,O100178,2149.52,cash
PAY100179,O100179,2714.49,cash
PAY100180,O100180,1229.26,card
PAY100181,O100181,644.63,paypal
PAY100182,O100182,2372.31,card
PAY100183,O100183,1053.12,crypto
PAY100184,O100184,1149.36,paypal
PAY100185,O100185,3057.64,cash
PAY100186,O100186,2363.84,crypto
PAY100187,O100187,728.34,cash
PAY100188,O100188,2352.07,crypto
PAY100189,O100189,1970.31,crypto
PAY100190,O100190,517.42,crypto
PAY100191,O100191,1297.39,cash
PAY100192,O100192,485.04,card
PAY100193,O100193,429.26,card
PAY100194,O100194,1913.57,paypal
PAY100195,O100195,4060.01,cash
PAY100196,O100196,703.11,paypal
PAY100197,O100197,1249.5,paypal
PAY100198,O100198,162.17,crypto
PAY100199,O100199,382.12,crypto
PAY100200,O100200,775.32,card
PAY100201,O100201,1005.15,card
PAY100202,O100202,456.57,paypal
PAY100203,O100203,2059.98,paypal
PAY100204,O100204,582.24,paypal
PAY100205,O100205,1984.06,card
PAY100206,O100206,3274.18,paypal
PAY100207,O100207,777.18,card
PAY100208,O100208,1809.48,cash
PAY100209,O100209,57.54,cash
PAY100210,O100210,3416.99,paypal
PAY100211,O100211,1383.91,card
PAY100212,O100212,1691.66,cash
PAY100213,O100213,827.22,card
PAY100214,O100214,1211.31,card
PAY100215,O100215,1428.66,cash
PAY100216,O100216,245.66,paypal
PAY100217,O100217,2511.49,paypal
PAY100218,O100218,1131.24,cash
PAY100219,O100219,168.72,crypto
PAY100220,O100220,70.99,card
PAY100221,O100221,916.89,crypto
PAY100222,O100222,2692.12,paypal
PAY100223,O100223,731.15,card
PAY100224,O100224,1926.05,cash
PAY100225,O100225,2013.49,paypal
PAY100226,O100226,1522.73,paypal
PAY100227,O100227,2452.84,paypal
PAY100228,O100228,667.08,cash
PAY100229,O100229,1172.37,cash
PAY100230,O100230,405.69,crypto
PAY100231,O100231,1576.52,cash
PAY100232,O100232,54.27,crypto
PAY100233,O100233,2298.55,card
PAY100234,O100234,667.19,card
PAY100235,O100235,971.94,card
PAY100236,O100236,2947.64,paypal
PAY100237,O100237,1127.61,paypal
PAY100238,O100238,1985.07,paypal
PAY100239,O100239,30.01,cash
PAY100240,O100240,624.44,cash
PAY100241,O100241,2947.16,crypto
PAY100242,O100242,726.9,paypal
PAY100243,O100243,1709.64,cash
PAY100244,O100244,1693.02,card
