shipment_id,order_id,shipped_date,delivery_status
S100000,O100000,2025-06-30 00:18:16,delayed
S100001,O100001,2024-11-24 16:06:03,delayed
S100002,O100002,2025-04-09 01:57:42,delayed
S100003,O100003,2025-06-01 02:31:26,in_transit
S100004,O100004,2026-01-14 10:54:07,in_transit
S100005,O100005,2025-03-05 11:30:40,in_transit
S100006,O100006,2025-12-15 18:08:43,delivered
S100007,O100007,2025-10-13 06:54:34,delivered
S100008,O100008,2026-01-19 07:47:00,delivered
S100009,O100009,2025-01-27 07:10:30,delivered
S100010,O100010,2025-12-01 14:29:14,delayed
S100011,O100011,2025-04-04 15:47:42,delivered
S100012,O100012,2024-12-06 03:10:04,delivered
S100013,O100013,2025-08-20 12:30:06,delivered
S100014,O100014,2026-05-07 01:55:09,delayed
S100015,O100015,2024-11-12 08:14:43,delivered
S100016,O100016,2024-12-06 19:40:32,delivered
S100017,O100017,2024-12-24 21:56:00,delivered
S100018,O100018,2025-02-19 23:10:33,in_transit
S100019,O100019,2025-06-13 00:03:15,delivered
S100020,O100020,2024-06-23 19:09:22,delivered
S100021,O100021,2024-11-30 14:11:42,delivered
S100022,O100022,2025-02-23 05:32:59,delayed
S100023,O100023,2024-07-15 08:33:13,delivered
S100024,O100024,2024-08-27 08:16:01,delivered
S100025,O100025,2025-07-13 21:03:32,in_transit
S100026,O100026,2025-06-30 03:22:54,in_transit
S100027,O100027,2026-01-06 06:46:34,delayed
S100028,O100028,2026-05-23 14:21:06,delayed
S100029,O100029,2024-07-13 02:26:31,delivered
S100030,O100030,2024-09-30 06:05:47,in_transit
S100031,O100031,2024-10-25 14:52:40,delayed
S100032,O100032,2024-09-10 20:00:28,delayed
S100033,O100033,2026-03-11 18:11:35,in_transit
S100034,O100034,2024-10-04 00:00:02,delivered
S100035,O100035,2025-07-23 04:52:40,in_transit
S100036,O100036,2026-04-12 16:55:28,delivered
S100037,O100037,2024-12-09 06:13:52,delivered
S100038,O100038,2026-03-12 12:27:02,in_transit
S100039,O100039,2026-03-29 01:53:43,delivered
S100040,O100040,2025-10-12 10:04:29,delayed
S100041,O100041,2026-04-01 18:07:17,in_transit
S100042,O100042,2025-07-10 23:38:43,delayed
S100043,O100043,2025-01-17 03:45:22,delivered
S100044,O100044,2025-05-21 14:43:15,delivered
S100045,O100045,2026-05-17 18:42:04,in_transit
S100046,O100046,2024-10-14 08:33:18,in_transit
S100047,O100047,2025-01-25 13:06:42,delivered
S100048,O100048,2024-10-02 14:33:02,in_transit
S100049,O100049,2025-02-12 22:14:53,delivered
S100050,O100050,2024-07-20 11:45:20,delayed
S100051,O100051,2025-05-25 23:39:24,in_transit
S100052,O100052,2025-05-08 02:48:00,delayed
S100053,O100053,2025-07-26 04:57:39,in_transit
S100054,O100054,2024-09-08 16:31:16,delayed
S100055,O100055,2026-04-10 13:32:15,delivered
S100056,O100056,2025-02-09 23:48:51,delivered
S100057,O100057,2025-07-02 14:23:13,delivered
S100058,O100058,2025-09-04 17:41:03,delivered
S100059,O100059,2025-01-28 07:42:17,in_transit
S100060,O100060,2025-08-03 07:41:06,delayed
S100061,O100061,2024-07-19 23:28:14,in_transit
S100062,O100062,2024-10-19 10:35:58,in_transit
S100063,O100063,2024-08-24 05:17:17,delivered
S100064,O100064,2025-05-23 15:26:42,in_transit
S100065,O100065,2025-11-14 17:31:27,delayed
S100066,O100066,2025-02-09 11:49:29,in_transit
S100067,O100067,2025-10-17 21:41:56,delayed
S100068,O100068,2025-07-07 08:03:39,delivered
S100069,O100069,2024-09-16 21:25:35,delivered
S100070,O100070,2025-06-10 00:51:27,in_transit
S100071,O100071,2024-09-18 13:38:52,delayed
S100072,O100072,2024-07-28 14:58:02,delivered
S100073,O100073,2024-12-27 05:39:53,delivered
S100074,O100074,2026-05-07 22:30:39,in_transit
S100075,O100075,2024-10-10 15:03:08,delayed
S100076,O100076,2025-10-08 08:58:07,delivered
S100077,O100077,2024-10-06 11:13:17,delivered
S100078,O100078,2025-07-11 14:15:39,delayed
S100079,O100079,2024-09-17 13:03:13,in_transit
S100080,O100080,2025-01-24 22:55:48,in_transit
S100081,O100081,2024-08-03 16:16:51,delivered
S100082,O100082,2024-11-24 01:21:48,delivered
S100083,O100083,2025-06-01 07:34:44,in_transit
S100084,O100084,2024-12-05 20:46:56,in_transit
S100085,O100085,2024-11-29 03:59:44,delivered
S100086,O100086,2025-03-14 04:05:36,delayed
S100087,O100087,2024-11-10 02:18:28,delayed
S100088,O100088,2025-03-05 06:08:19,delivered
S100089,O100089,2026-03-06 05:31:43,delivered
S100090,O100090,2026-03-15 17:20:59,delivered
S100091,O100091,2024-09-04 22:15:29,delivered
S100092,O100092,2024-08-21 14:00:16,in_transit
S100093,O100093,2025-03-23 03:49:49,delayed
S100094,O100094,2025-08-20 03:09:28,delayed
S100095,O100095,2024-12-02 23:53:16,delayed
S100096,O100096,2026-02-11 17:28:09,in_transit
S100097,O100097,2024-08-16 23:13:44,delivered
S100098,O100098,2024-09-12 08:22:58,delayed
S100099,O100099,2025-07-04 05:22:09,delayed
S100100,O100100,2026-01-15 13:23:39,in_transit
S100101,O100101,2024-06-26 12:48:40,delivered
S100102,O100102,2025-10-15 22:36:31,delivered
S100103,O100103,2024-08-07 08:06:47,delivered
